iter	Passed	Remaining
0	1	117
1	2	121
2	4	150
3	5	132
4	6	124
5	7	121
6	8	116
7	9	113
8	10	109
9	11	105
10	12	103
11	13	101
12	14	100
13	15	97
14	16	96
15	17	94
16	18	92
17	19	90
18	20	88
19	21	87
20	22	85
21	23	84
22	24	83
23	25	81
24	26	80
25	27	79
26	28	78
27	29	77
28	31	76
29	32	75
30	33	74
31	34	72
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	64
39	42	63
40	43	62
41	44	60
42	45	60
43	46	59
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	58	46
56	59	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	38
63	67	38
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	94	12
88	95	11
89	96	10
90	97	9
91	99	8
92	100	7
93	101	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
